,0
0,2
1,3
2,4
3,5
4,6
5,7
6,8
7,9
8,14
9,19
10,32
11,36
12,37
13,64
14,70
15,71
16,83
17,84
18,85
19,88
20,90
21,95
22,96
23,98
24,100
25,102
26,103
27,104
28,106
29,142
30,143
31,144
32,145
33,146
34,147
35,148
36,149
37,150
38,151
39,152
40,153
41,154
42,155
43,156
44,157
45,158
46,159
47,160
48,161
49,162
50,163
51,164
52,165
53,166
54,167
55,168
56,169
57,170
58,171
59,172
60,178
61,183
62,196
63,215
64,216
65,217
66,218
67,219
68,220
69,221
70,222
71,223
72,224
73,225
74,226
75,227
76,228
77,229
78,230
79,231
80,232
81,233
82,234
83,235
84,236
85,237
86,238
87,249
88,250
89,254
90,255
91,256
92,257
93,258
94,259
95,260
96,261
97,262
98,263
99,264
100,265
101,266
102,267
103,268
104,269
105,270
106,271
107,272
108,273
109,274
110,275
111,276
112,279
113,281
114,282
115,283
116,289
117,294
118,296
119,298
120,299
121,300
122,301
123,302
124,303
125,304
126,305
127,306
128,307
129,310
130,312
131,315
132,319
133,329
134,330
135,332
136,333
137,337
138,353
139,355
140,357
141,358
142,360
143,361
144,363
145,364
146,365
147,369
148,370
149,392
150,393
151,406
152,408
153,415
154,416
155,417
156,418
157,419
158,420
159,421
160,422
161,423
162,424
163,425
164,426
165,428
166,429
167,430
168,432
169,433
170,434
171,435
172,436
173,437
174,439
175,449
176,450
177,451
178,452
179,453
180,454
181,455
182,456
183,457
184,458
185,459
186,460
187,461
188,462
189,463
190,466
191,472
192,474
193,483
194,485
195,487
196,491
197,493
198,499
199,500
200,501
201,502
202,507
203,508
204,509
205,510
206,511
207,512
208,513
209,514
210,515
211,516
212,517
213,518
214,519
215,520
216,521
217,522
218,523
219,533
220,534
221,542
222,543
223,544
224,549
225,555
226,565
227,566
228,567
229,586
230,587
231,588
232,597
233,606
234,613
235,615
236,618
237,623
238,624
239,625
240,685
241,687
242,689
243,692
244,710
245,711
246,712
247,713
248,714
249,715
250,716
251,717
252,718
253,719
254,721
255,723
256,724
257,725
258,726
259,727
260,728
261,730
262,731
263,732
264,733
265,734
266,735
267,736
268,737
269,738
270,740
271,748
272,756
273,757
274,759
275,760
276,761
277,762
278,763
279,764
280,765
281,766
282,767
283,769
284,770
285,771
286,772
287,773
288,774
289,775
290,776
291,777
292,778
293,779
294,780
295,781
296,782
297,783
298,785
299,786
300,788
301,789
302,790
303,794
304,798
305,799
306,800
307,810
308,811
309,812
310,813
311,815
312,818
313,819
314,820
315,822
316,826
317,828
318,829
319,831
320,832
321,833
322,834
323,835
324,837
325,838
326,840
327,842
328,843
329,845
330,846
331,847
332,848
333,849
334,851
335,854
336,855
337,856
338,857
339,859
340,861
341,863
342,864
343,866
344,867
345,868
346,869
347,870
348,871
349,872
350,873
351,875
352,876
353,882
354,883
355,884
356,885
357,886
358,887
359,889
360,894
361,895
362,901
363,902
364,904
365,905
366,906
367,908
368,926
369,927
370,928
371,929
372,930
373,931
374,932
375,933
376,940
377,941
378,944
379,951
380,953
381,955
382,971
383,972
384,984
385,985
386,986
387,987
388,988
389,989
390,990
391,991
392,992
393,993
394,994
395,995
396,996
397,997
398,998
399,1010
400,1012
401,1014
402,1019
403,1020
404,1021
405,1022
406,1024
407,1036
408,1037
409,1038
410,1039
411,1040
412,1041
413,1042
414,1043
415,1044
416,1045
417,1046
418,1047
419,1048
420,1061
421,1063
422,1065
423,1066
424,1067
425,1068
426,1069
427,1070
428,1071
429,1072
430,1073
431,1074
432,1075
433,1076
434,1077
435,1078
436,1079
437,1080
438,1082
439,1083
440,1084
441,1085
442,1088
443,1089
444,1090
445,1091
446,1110
447,1111
448,1112
449,1113
450,1114
451,1115
452,1116
453,1117
454,1118
455,1119
456,1120
457,1121
458,1122
459,1125
460,1126
461,1127
462,1133
463,1134
464,1168
465,1178
466,1179
467,1180
468,1181
469,1182
470,1183
471,1191
472,1192
473,1193
474,1194
475,1195
476,1196
477,1197
478,1198
479,1199
480,1200
481,1201
482,1202
483,1203
484,1204
485,1205
486,1206
487,1207
488,1208
489,1209
490,1210
491,1211
492,1212
493,1213
494,1214
495,1215
496,1216
497,1217
498,1220
499,1221
500,1222
501,1223
502,1224
503,1225
504,1226
505,1227
506,1228
507,1229
508,1232
509,1247
510,1250
511,1254
512,1255
513,1257
514,1258
515,1262
516,1268
517,1269
518,1270
519,1310
520,1329
521,1337
522,1341
523,1342
524,1344
525,1345
526,1347
527,1348
528,1349
529,1354
530,1370
531,1371
532,1374
533,1376
534,1377
535,1379
536,1384
537,1390
538,1391
539,1392
540,1393
541,1394
542,1395
543,1396
544,1397
545,1398
546,1399
